date,rank,team,games,win,lose,draw,win_rate,game_behind,recent_10,streak,home,away
2024.08.11,1,KIA,110,63,45,2,0.583,0,3승0무7패,1패,28-1-26,35-1-19
2024.08.11,2,LG,108,58,48,2,0.547,4,5승0무5패,4승,30-1-21,28-1-27
2024.08.11,3,삼성,111,58,51,2,0.532,5.5,6승0무4패,1승,31-0-25,27-2-26
2024.08.11,4,두산,114,58,54,2,0.518,7,6승0무4패,1패,32-1-25,26-1-29
2024.08.11,5,SSG,110,54,55,1,0.495,9.5,3승0무7패,1승,28-1-26,26-0-29
2024.08.11,6,KT,110,53,55,2,0.491,10,4승0무6패,2패,24-1-27,29-1-28
2024.08.11,7,NC,107,49,56,2,0.467,12.5,2승0무8패,5패,27-0-22,22-2-34
2024.08.11,8,롯데,105,47,55,3,0.461,13,7승0무3패,2승,28-2-21,19-1-34
2024.08.11,9,한화,107,48,57,2,0.457,13.5,6승0무4패,2패,25-2-30,23-0-27
2024.08.11,10,키움,108,48,60,0,0.444,15,6승0무4패,2승,27-0-33,21-0-27
2024.08.10,1,KIA,109,63,44,2,0.589,0,4승0무6패,1승,28-1-25,35-1-19
2024.08.10,2,LG,107,57,48,2,0.543,5,4승0무6패,3승,29-1-21,28-1-27
2024.08.10,3,삼성,110,57,51,2,0.528,6.5,6승0무4패,2패,31-0-25,26-2-26
2024.08.10,4,두산,113,58,53,2,0.523,7,7승0무3패,2승,32-1-25,26-1-28
2024.08.10,5,KT,109,53,54,2,0.495,10,4승0무6패,1패,24-1-26,29-1-28
2024.08.10,6,SSG,109,53,55,1,0.491,10.5,3승0무7패,3패,27-1-26,26-0-29
2024.08.10,7,NC,106,49,55,2,0.471,12.5,2승0무8패,4패,27-0-22,22-2-33
2024.08.10,8,한화,106,48,56,2,0.462,13.5,7승0무3패,1패,25-2-29,23-0-27
2024.08.10,9,롯데,104,46,55,3,0.455,14,7승0무3패,1승,28-2-21,18-1-34
2024.08.10,10,키움,107,47,60,0,0.439,16,6승0무4패,1승,27-0-33,20-0-27
2024.08.09,1,KIA,109,63,44,2,0.589,0,4승0무6패,1승,28-1-25,35-1-19
2024.08.09,2,LG,106,56,48,2,0.538,5.5,4승0무6패,2승,28-1-21,28-1-27
2024.08.09,3,삼성,110,57,51,2,0.528,6.5,6승0무4패,2패,31-0-25,26-2-26
2024.08.09,4,두산,112,57,53,2,0.518,7.5,6승0무4패,1승,32-1-25,25-1-28
2024.08.09,5,KT,108,53,53,2,0.500,9.5,5승0무5패,3승,24-1-25,29-1-28
2024.08.09,6,SSG,108,53,54,1,0.495,10,4승0무6패,2패,27-1-25,26-0-29
2024.08.09,7,NC,105,49,54,2,0.476,12,2승0무8패,3패,27-0-22,22-2-32
2024.08.09,8,한화,105,48,55,2,0.466,13,8승0무2패,2승,25-2-28,23-0-27
2024.08.09,9,롯데,103,45,55,3,0.450,14.5,6승0무4패,1패,28-2-21,17-1-34
2024.08.09,10,키움,106,46,60,0,0.434,16.5,5승0무5패,1패,27-0-33,19-0-27
2024.08.08,1,KIA,108,62,44,2,0.585,0,3승0무7패,2패,27-1-25,35-1-19
2024.08.08,2,LG,105,55,48,2,0.534,5.5,4승0무6패,1승,27-1-21,28-1-27
2024.08.08,3,삼성,109,57,50,2,0.533,5.5,6승0무4패,1패,31-0-25,26-2-25
2024.08.08,4,두산,111,56,53,2,0.514,7.5,5승0무5패,1패,32-1-25,24-1-28
2024.08.08,5,SSG,107,53,53,1,0.500,9,5승0무5패,1패,27-1-24,26-0-29
2024.08.08,6,KT,107,52,53,2,0.495,9.5,4승0무6패,2승,23-1-25,29-1-28
2024.08.08,7,NC,104,49,53,2,0.480,11,3승0무7패,2패,27-0-22,22-2-31
2024.08.08,8,한화,104,47,55,2,0.461,13,8승0무2패,1승,24-2-28,23-0-27
2024.08.08,9,롯데,102,45,54,3,0.455,13.5,6승0무4패,4승,28-2-21,17-1-33
2024.08.08,10,키움,105,46,59,0,0.438,15.5,6승0무4패,1승,27-0-33,19-0-26
2024.08.07,1,KIA,107,62,43,2,0.590,0,3승0무7패,1패,27-1-24,35-1-19
2024.08.07,2,삼성,108,57,49,2,0.538,5.5,7승0무3패,1승,31-0-24,26-2-25
